"id","description","chart_template_id:id","name","account_collected_id/id","account_paid_id/id","base_code_id/id","ref_base_code_id/id","ref_tax_code_id/id","tax_code_id/id","amount","applicable_type","base_sign","ref_base_sign","tax_sign","ref_tax_sign","domain","include_base_amount","parent_id/id","python_applicable","sequence","type_tax_use","price_include","type","child_depend"
"account_tax_kvrm","Käänteinen vero, rakentamispalvelut, myynti","l10n_fi_liikekirjuri","Käänteinen vero, rakentamispalvelut, myynti",,,"account_tax_code_319","account_tax_code_319",,,,"True","1.0","-1.0","1.0","1.0",,"False",,,"2","All","False","percent","False"
"account_tax_kvro","Käänteinen vero, rakentamispalvelut, osto","l10n_fi_liikekirjuri","Käänteinen vero, rakentamispalvelut, osto",,,"account_tax_code_320","account_tax_code_320",,,"0.24","True","1.0","-1.0","1.0","1.0",,"False",,,"2","All","False","percent","False"
"account_tax_kv","Käänteinen verovelvollisuus","l10n_fi_liikekirjuri","Käänteinen verovelvollisuus",,,,,,,"0.24","True","1.0","1.0","1.0","1.0",,"False",,,"2","All","False","percent","False"
"account_tax_m0","Myynti ALV 0%","l10n_fi_liikekirjuri","Myynti ALV 0%",,,"account_tax_code_3091","account_tax_code_3091",,,,"True","1.0","-1.0","1.0","-1.0",,"False",,,"2","Sale","False","percent","False"
"account_tax_m10","Myynti ALV 10%","l10n_fi_liikekirjuri","Myynti ALV 10%","account_account_2939","account_account_2939","account_tax_code_3032","account_tax_code_3032","account_tax_code_303","account_tax_code_303","0.1","True","1.0","-1.0","1.0","-1.0",,"False",,,"2","Sale","False","percent","False"
"account_tax_m14","Myynti ALV 14%","l10n_fi_liikekirjuri","Myynti ALV 14%","account_account_2939","account_account_2939","account_tax_code_3022","account_tax_code_3022","account_tax_code_302","account_tax_code_302","0.14","True","1.0","-1.0","1.0","-1.0",,"False",,,"2","Sale","False","percent","False"
"account_tax_m24","Myynti ALV 24%","l10n_fi_liikekirjuri","Myynti ALV 24%","account_account_2939","account_account_2939","account_tax_code_3012","account_tax_code_3012","account_tax_code_301","account_tax_code_301","0.24","True","1.0","-1.0","1.0","-1.0",,"False",,,"1","Sale","False","percent","False"
"account_tax_mey","Myynti ei-yhteisö 0%","l10n_fi_liikekirjuri","Myynti ei-yhteisö 0%",,,"account_tax_code_3092","account_tax_code_3092",,,,"True","1.0","1.0","1.0","1.0",,"False",,,"2","Sale","False","percent","False"
"account_tax_my","Myynti yhteisö 0%","l10n_fi_liikekirjuri","Myynti yhteisö 0%",,,"account_tax_code_311","account_tax_code_311",,,,"True","1.0","-1.0","1.0","-1.0",,"False",,,"2","Sale","False","percent","False"
"account_tax_o0","Osto ALV 0%","l10n_fi_liikekirjuri","Osto ALV 0%",,,"account_tax_code_osto_alv0","account_tax_code_osto_alv0",,,,"True","1.0","-1.0","-1.0","1.0",,"False",,,"2","Purchase","False","percent","False"
"account_tax_o10","Osto ALV 10%","l10n_fi_liikekirjuri","Osto ALV 10%","account_account_2939","account_account_2939","account_tax_code_30712","account_tax_code_30712","account_tax_code_30722","account_tax_code_30722","0.1","True","1.0","-1.0","-1.0","1.0",,"False",,,"2","Purchase","False","percent","False"
"account_tax_o10sh","Osto ALV 10% (sis. hintaan)","l10n_fi_liikekirjuri","Osto ALV 10% (sis. hintaan)","account_account_2939","account_account_2939","account_tax_code_30712","account_tax_code_30712","account_tax_code_30722","account_tax_code_30722","0.1","True","1.0","-1.0","-1.0","1.0",,"False",,,"2","Purchase","True","percent","False"
"account_tax_o14","Osto ALV 14%","l10n_fi_liikekirjuri","Osto ALV 14%","account_account_2939","account_account_2939","account_tax_code_30711","account_tax_code_30711","account_tax_code_30721","account_tax_code_30721","0.14","True","1.0","-1.0","-1.0","1.0",,"False",,,"2","Purchase","False","percent","False"
"account_tax_o14sh","Osto ALV 14% (sis. hintaan)","l10n_fi_liikekirjuri","Osto ALV 14% (sis. hintaan)","account_account_2939","account_account_2939","account_tax_code_30711","account_tax_code_30711","account_tax_code_30721","account_tax_code_30721","0.14","True","1.0","-1.0","-1.0","1.0",,"False",,,"2","Purchase","True","percent","False"
"account_tax_o24","Osto ALV 24%","l10n_fi_liikekirjuri","Osto ALV 24%","account_account_2939","account_account_2939","account_tax_code_30710","account_tax_code_30710","account_tax_code_3072","account_tax_code_3072","0.24","True","1.0","-1.0","-1.0","1.0",,"False",,,"1","Purchase","False","percent","False"
"account_tax_o24sh","Osto ALV 24% (sis. hintaan)","l10n_fi_liikekirjuri","Osto ALV 24% (sis. hintaan)","account_account_2939","account_account_2939","account_tax_code_30710","account_tax_code_30710","account_tax_code_3072","account_tax_code_3072","0.24","True","1.0","-1.0","-1.0","1.0",,"False",,,"2","Purchase","True","percent","False"
"account_tax_oey","Osto ei-yhteisö 0%","l10n_fi_liikekirjuri","Osto ei-yhteisö 0%",,,"account_tax_code_osto_eiyhteiso","account_tax_code_osto_eiyhteiso",,,,"True","1.0","-1.0","1.0","1.0",,"False",,,"2","Purchase","False","percent","False"
"account_tax_oey","Osto ei-yhteisö 0%","l10n_fi_liikekirjuri","Osto yhteisö 0%",,,"account_tax_code_313","account_tax_code_313",,,,"True","1.0","-1.0","1.0","1.0",,"False",,,"2","Purchase","False","percent","False"
"account_tax_pmy","Palvelumyynti yhteisö 0%","l10n_fi_liikekirjuri","Palvelumyynti yhteisö 0%",,,"account_tax_code_312","account_tax_code_312",,,,"True","1.0","-1.0","1.0","1.0",,"False",,,"2","All","False","percent","False"
"account_tax_poy","Palveluosto yhteisö 0%","l10n_fi_liikekirjuri","Palveluosto yhteisö 0%",,,"account_tax_code_314","account_tax_code_314",,,"0.24","True","1.0","-1.0","1.0","1.0",,"False",,,"2","All","False","percent","False"
"account_tax_tmy","Tavaramyynti yhteisö 0%","l10n_fi_liikekirjuri","Tavaramyynti yhteisö 0%",,,"account_tax_code_311","account_tax_code_311",,,,"True","1.0","-1.0","1.0","-1.0",,"False",,,"2","Sale","False","percent","False"
"account_tax_toy","Tavaraosto yhteisö 0%","l10n_fi_liikekirjuri","Tavaraosto yhteisö 0%",,,"account_tax_code_313","account_tax_code_313",,,"0.24","True","1.0","-1.0","1.0","1.0",,"False",,,"2","Purchase","False","percent","False"
